,Name,Date of Birth,Date of Death,Race,Gender,Religion,Title,Term Start,Term End,Party,Nominator,Court,Year
34,Franz Grüner,1879-11-24,1953-06-25,,male,,Member of the Constitutional Court of Austria,,,Social Democratic Party of Austria,,Austria,
35,Adolf Pilz,1877-07-10,1947-09-23,,male,,Member of the Constitutional Court of Austria,,,Fatherland Front,,Austria,
36,Viktor Fuchs,1840-10-25,1921-09-29,,male,,Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
37,Peter Oberndorfer,1942-09-02,,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
38,Theo Öhlinger,1939-06-22,,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
39,Theo Öhlinger,1939-06-22,,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
40,Peter Fessler,1928-09-22,,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
41,Viktor Kienböck,1873-01-18,1956-11-23,,male,,Substitute Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
42,Viktor Kienböck,1873-01-18,1956-11-23,,male,,Substitute Member of the Constitutional Court of Austria,,,Fatherland Front,,Austria,
43,Viktor Kienböck,1873-01-18,1956-11-23,,male,,Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
44,Viktor Kienböck,1873-01-18,1956-11-23,,male,,Member of the Constitutional Court of Austria,,,Fatherland Front,,Austria,
45,Willibald Liehr,1941-12-07,2011-05-31,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
46,Anton Mahnig,1899-06-17,1988-04-14,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
47,Julius Sylvester,1854-06-30,1944-07-13,,male,,Member of the Constitutional Court of Austria,,,Deutsche Nationalpartei (Österreich),,Austria,
48,Julius Sylvester,1854-06-30,1944-07-13,,male,,Member of the Constitutional Court of Austria,,,Deutscher Nationalverband,,Austria,
49,Hans Georg Ruppe,1942-06-16,,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
50,Edmund Bernatzik,1854-09-28,1919-03-30,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
51,Michael Mayr,1864-04-10,1922-05-21,,male,Catholic Church,Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
52,Robert Hecht,1881-03-09,1938-01-01,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
53,Karl Spielbüchler,1939-09-27,2012-01-09,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
54,Friedrich Austerlitz,1862-04-25,1931-07-05,,male,,Member of the Constitutional Court of Austria,,,Social Democratic Party of Austria,,Austria,
55,Friedrich Austerlitz,1862-04-25,1931-10-23,,male,,Member of the Constitutional Court of Austria,,,Social Democratic Party of Austria,,Austria,
56,Friedrich Austerlitz,1862-04-25,1931-07-05,,male,,Substitute Member of the Constitutional Court of Austria,,,Social Democratic Party of Austria,,Austria,
57,Friedrich Austerlitz,1862-04-25,1931-10-23,,male,,Substitute Member of the Constitutional Court of Austria,,,Social Democratic Party of Austria,,Austria,
58,Heinrich Klang,1875-04-15,1954-01-22,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
59,Stephan Falser,1855-08-30,1944-03-19,,male,,Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
60,Stephan Falser,1855-08-30,1944-03-19,,male,,Substitute Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
61,Georg Froehlich,1872-07-17,1939-09-21,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
62,Kurt Gottlich,1932-12-04,2013-10-14,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
63,Friedrich von Engel,1867-08-19,1941-12-20,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
64,Adolf Menzel,1857-07-09,1938-08-12,,male,,Vice-president of the Constitutional Court,,,,,Austria,
65,Gustav Zigeuner,1886-01-28,1979-11-29,,male,,Vice-president of the Constitutional Court,,,Fatherland Front,,Austria,
66,Karl Wolff,1890-02-11,1963-08-17,,male,,Vice-president of the Constitutional Court,,,,,Austria,
67,Anton Mahnig,1899-06-17,1988-04-14,,male,,Vice-president of the Constitutional Court,,,,,Austria,
68,Walter Antoniolli,1907-12-30,2006-05-23,,male,,Vice-president of the Constitutional Court,,,,,Austria,
69,Georg Froehlich,1872-07-17,1939-09-21,,male,,Vice-president of the Constitutional Court,,,,,Austria,
70,Waldemar Unger,1881-09-12,1961-04-01,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
71,Otto Lutz,1869-07-02,1947-10-10,,male,,Substitute Member of the Constitutional Court of Austria,,,Greater German People's Party,,Austria,
72,Rudolf Müller,1947-04-11,,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
73,Max Scheffenegger,1883-05-30,1963-03-24,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
74,Max Scheffenegger,1883-05-30,1963-03-24,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
75,Arthur Lenhoff,1885-10-25,1965-06-20,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
76,Karl Wolff,1890-02-11,1963-08-17,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
77,Ignaz Tschurtschenthaler,1890-02-01,1954-12-16,,male,,Substitute Member of the Constitutional Court of Austria,,,Austrian People's Party,,Austria,
78,Ignaz Tschurtschenthaler,1890-02-01,1954-12-16,,male,,Substitute Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
79,Ignaz Tschurtschenthaler,1890-02-01,1954-12-16,,male,,Substitute Member of the Constitutional Court of Austria,,,Fatherland Front,,Austria,
80,Rolph Trummer,1890-04-19,1954-09-17,,male,,Member of the Constitutional Court of Austria,,,Fatherland Front,,Austria,
81,Julius Ofner,1845-08-20,1924-09-26,,male,,Member of the Constitutional Court of Austria,,,Deutsche Nationalpartei (Österreich),,Austria,
82,Rudolf Ramek,1881-04-12,1941-07-24,,male,Catholic Church,Member of the Constitutional Court of Austria,,,Christian Social Party,,Austria,
83,Rudolf Machacek,1927-12-28,2014-10-06,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
84,Hans Kelsen,1881-10-11,1973-04-19,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
85,Erwin Felzmann,1937-04-10,,,male,,Substitute Member of the Constitutional Court of Austria,,,,,Austria,
86,Karl Pawelka,1890-07-19,1948-10-02,,male,,Member of the Constitutional Court of Austria,,,National Socialist German Workers' Party (Nazi Party),,Austria,
87,Karl Pawelka,1890-07-19,1948-10-02,,male,,Member of the Constitutional Court of Austria,,,Sudeten German Party,,Austria,
88,Adolf Menzel,1857-07-09,1938-08-12,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
89,Gustav Harpner,1864-03-25,1924-07-10,,male,,Member of the Constitutional Court of Austria,,,,,Austria,
90,Norbert Wimmer,1942-07-05,,,male,,Substitute Member of the Constitutional Court of Austria,,,Social Democratic Party of Austria,,Austria,
91,Robert Neumann-Ettenreich,1857-01-08,1926-03-26,,male,,Member of the Constitutional Court of Austria,1919-02-14,1926-03-26,,Austrian Federal Government,Austria,1919
92,Paul Vittorelli,1851-03-09,1932-04-20,,male,,President of the Constitutional Court,1919-02-14,1930-02-15,,,Austria,1919
93,Paul Vittorelli,1851-03-09,1932-04-20,,male,,Member of the Constitutional Court of Austria,1919-02-14,1930-02-15,,,Austria,1919
94,Eduard Erler,1861-09-25,1949-01-01,,male,,Substitute Member of the Constitutional Court of Austria,1919-05-03,1920-03-17,Deutsche Nationalpartei (Österreich),,Austria,1919
95,Eduard Erler,1861-09-25,1949-01-01,,male,,Substitute Member of the Constitutional Court of Austria,1919-05-03,1920-03-17,Deutscher Nationalverband,,Austria,1919
96,Arnold Eisler,1879-04-06,1947-01-28,,male,,Substitute Member of the Constitutional Court of Austria,1919-05-03,1924-12-05,Social Democratic Party of Austria,,Austria,1919
97,Karl Heinrich Hugelmann,1844-10-06,1930-05-25,,male,,Substitute Member of the Constitutional Court of Austria,1919-05-03,1926-11-15,,,Austria,1919
98,Max Layer,1866-09-17,1941-01-24,,male,,Member of the Constitutional Court of Austria,1924-12-03,1930-02-15,,National Council of Austria,Austria,1924
99,Arnold Eisler,1879-04-06,1947-01-28,,male,,Member of the Constitutional Court of Austria,1924-12-05,1930-02-15,Social Democratic Party of Austria,,Austria,1924
100,Max Adler,1873-01-15,1937-06-28,,male,,Substitute Member of the Constitutional Court of Austria,1924-12-30,1930-02-15,Social Democratic Party of Austria,,Austria,1924
101,Alfred Verdross,1890-02-22,1980-03-27,,male,,Substitute Member of the Constitutional Court of Austria,1926-12-10,1930-02-15,,,Austria,1926
102,Alfred Verdross,1890-02-22,1980-04-27,,male,,Substitute Member of the Constitutional Court of Austria,1926-12-10,1930-02-15,,,Austria,1926
103,Gustav Walker,1868-04-21,1944-01-01,,male,,Member of the Constitutional Court of Austria,1930-01-01,1934-01-01,Fatherland Front,,Austria,1930
104,Max Kulisch,1870-05-13,1946-11-15,,male,,Member of the Constitutional Court of Austria,1930-02-16,1934-07-14,,Austrian Federal Government,Austria,1930
105,Ernst Durig,1870-06-29,1965-03-04,,male,,Member of the Constitutional Court of Austria,1930-02-16,1934-07-14,,,Austria,1930
106,Ernst Durig,1870-06-29,1965-03-04,,male,,President of the Constitutional Court,1930-02-16,1934-07-14,,,Austria,1930
107,Ludwig Adamovich,1890-09-23,1955-04-30,,male,,Member of the Constitutional Court of Austria,1930-02-16,1934-07-14,Fatherland Front,,Austria,1930
108,Ludwig Adamovich,1890-09-23,1955-04-30,,male,,Member of the Constitutional Court of Austria,1930-02-16,1955-09-23,Fatherland Front,,Austria,1930
109,Ludwig Adamovich,1890-09-23,1955-04-30,,male,,Member of the Constitutional Court of Austria,1945-12-14,1934-07-14,Fatherland Front,,Austria,1945
110,Ernst Durig,1870-06-29,1965-03-04,,male,,Member of the Constitutional Court of Austria,1945-12-14,1946-06-17,,,Austria,1945
111,Ernst Durig,1870-06-29,1965-03-04,,male,,President of the Constitutional Court,1945-12-14,1946-06-17,,,Austria,1945
112,Ludwig Adamovich,1890-09-23,1955-04-30,,male,,Member of the Constitutional Court of Austria,1945-12-14,1955-09-23,Fatherland Front,,Austria,1945
113,Godehard Josef Ebers,1880-09-22,1958-05-18,,male,,Member of the Constitutional Court of Austria,1946-06-01,1950-12-31,Centre Party,Austrian Federal Government,Austria,1946
114,Ludwig Adamovich,1890-09-23,1955-04-30,,male,,President of the Constitutional Court,1946-06-01,1955-09-23,Fatherland Front,,Austria,1946
115,Gustav Zigeuner,1886-01-28,1979-11-29,,male,,Member of the Constitutional Court of Austria,1946-06-01,1957-12-31,Fatherland Front,,Austria,1946
116,Wilhelm Lahnsteiner,1890-12-04,1962-01-01,,male,,Member of the Constitutional Court of Austria,1946-06-18,1954-03-24,,Q629145,Austria,1946
117,Walter Antoniolli,1907-12-30,2006-05-23,,male,,Member of the Constitutional Court of Austria,1951-01-01,1977-10-03,,,Austria,1951
118,Wilhelm Rosenzweig,1908-11-27,1992-05-04,,male,,Substitute Member of the Constitutional Court of Austria,1954-02-19,1958-02-12,,Federal Council of Austria,Austria,1954
119,Leopold Werner,1905-09-26,1977-01-13,,male,,Substitute Member of the Constitutional Court of Austria,1954-04-14,1954-12-31,,,Austria,1954
120,Leopold Werner,1905-09-26,1977-01-13,,male,,Member of the Constitutional Court of Austria,1955-01-01,1975-12-31,,First Raab government,Austria,1955
121,Gustav Kaniak,1907-07-30,1993-07-03,,male,,Substitute Member of the Constitutional Court of Austria,1955-01-15,1957-06-30,,First Raab government,Austria,1955
122,Gustav Zigeuner,1886-01-28,1979-11-29,,male,,President of the Constitutional Court,1956-02-01,1957-12-31,Fatherland Front,,Austria,1956
123,Gustav Kaniak,1907-07-30,1993-07-03,,male,,Member of the Constitutional Court of Austria,1957-07-01,1977-12-31,,Q1006646,Austria,1957
124,Walter Antoniolli,1907-12-30,2006-05-23,,male,,President of the Constitutional Court,1958-02-12,1977-10-03,,,Austria,1958
125,Wilhelm Rosenzweig,1908-11-27,1992-05-04,,male,,Member of the Constitutional Court of Austria,1958-02-12,1978-12-31,,Federal Council of Austria,Austria,1958
126,Erwin Melichar,1913-09-26,2000-02-16,,male,,Member of the Constitutional Court of Austria,1958-02-22,1977-10-10,,Q1006646,Austria,1958
127,Wilhelm Malaniuk,1906-06-26,1965-12-20,,male,,Substitute Member of the Constitutional Court of Austria,1959-04-17,1965-12-20,,Q1006646,Austria,1959
128,Anton Mahnig,1899-06-17,1988-04-14,,male,,Member of the Constitutional Court of Austria,1961-07-11,1969-09-30,,,Austria,1961
129,Friedrich Nowakowski,1914-10-15,1987-06-21,,male,,Substitute Member of the Constitutional Court of Austria,1961-12-11,1984-12-31,National Socialist German Workers' Party (Nazi Party),National Council of Austria,Austria,1961
130,Hans Klecatsky,1920-11-06,2015-04-23,,male,,Substitute Member of the Constitutional Court of Austria,1965-01-01,1966-01-01,,,Austria,1965
131,Friedrich Lehne,1913-06-30,2006-12-16,,male,,Substitute Member of the Constitutional Court of Austria,1966-09-02,1983-12-31,,,Austria,1966
132,Dietrich Roessler,1926-02-10,2001-08-20,,male,,Substitute Member of the Constitutional Court of Austria,1967-07-13,1967-12-31,,,Austria,1967
133,Armin Wechner,1910-01-26,1992-09-09,,male,,Member of the Constitutional Court of Austria,1967-08-17,1979-08-31,,Q876869,Austria,1967
134,Dietrich Roessler,1926-02-10,2001-08-20,,male,,Member of the Constitutional Court of Austria,1968-01-01,1996-12-31,,Federal Council of Austria,Austria,1968
135,Leopold Werner,1905-09-26,1977-01-13,,male,,Vice-president of the Constitutional Court,1969-01-01,1975-12-31,,Q876869,Austria,1969
136,Kurt Ringhofer,1926-08-02,1993-08-14,,male,,Substitute Member of the Constitutional Court of Austria,1969-02-11,1969-12-31,,,Austria,1969
137,Werner Hinterauer,1917-12-08,2013-12-11,,male,,Substitute Member of the Constitutional Court of Austria,1969-02-11,1979-12-31,,,Austria,1969
138,Kurt Ringhofer,1926-08-02,1993-08-14,,male,,Member of the Constitutional Court of Austria,1970-01-01,1993-08-14,,Q876869,Austria,1970
139,Karl Piska,1928-05-18,2008-12-18,,male,,Member of the Constitutional Court of Austria,1973-03-14,1998-12-31,,National Council of Austria,Austria,1973
140,Kurt Ringhofer,1926-08-02,1993-08-14,,male,,Vice-president of the Constitutional Court,1976-03-10,1993-08-14,,Q1006639,Austria,1976
141,Erwin Melichar,1913-09-26,2000-02-16,,male,,President of the Constitutional Court,1977-10-10,1983-12-31,,Q1006639,Austria,1977
142,Karl Korinek,1940-12-07,2017-03-09,,male,,Member of the Constitutional Court of Austria,1978-01-02,2008-04-30,Austrian People's Party,Q1006639,Austria,1978
143,Peter Jann,1935-01-20,,,male,,Member of the Constitutional Court of Austria,1978-01-13,1995-01-31,,Q1006639,Austria,1978
144,Kurt Heller,1939-08-16,2020-04-01,,male,,Member of the Constitutional Court of Austria,1979-02-23,2009-12-31,,Federal Council of Austria,Austria,1979
145,Werner Hinterauer,1917-12-08,2013-12-11,,male,,Member of the Constitutional Court of Austria,1980-01-01,1987-12-31,,,Austria,1980
146,Ludwig Adamovich,1932-08-24,,,male,,President of the Constitutional Court,1984-01-01,2002-12-31,,,Austria,1984
147,Ludwig Adamovich,1932-08-24,,,male,,Member of the Constitutional Court of Austria,1984-01-01,2002-12-31,,,Austria,1984
148,Heinrich Kienberger,1934-12-18,2018-08-01,,male,,Member of the Constitutional Court of Austria,1987-06-05,1995-10-31,,Federal Council of Austria,Austria,1987
149,Peter Oberndorfer,1942-09-02,,,male,,Member of the Constitutional Court of Austria,1987-06-05,2012-01-31,,,Austria,1987
150,Siegbert Morscher,1939-04-29,,,male,,Member of the Constitutional Court of Austria,1988-01-08,2004-11-30,,Q1006665,Austria,1988
151,Oswin Martinek,1924-02-09,1997-08-30,,male,,Substitute Member of the Constitutional Court of Austria,1990-01-18,1994-12-31,,,Austria,1990
152,Lisbeth Lass,1940-09-20,,,female,,Substitute Member of the Constitutional Court of Austria,1993-02-17,1994-03-07,,National Council of Austria,Austria,1993
153,Karl Piska,1928-05-18,2008-12-18,,male,,Vice-president of the Constitutional Court,1993-10-21,1998-12-31,,Q1006666,Austria,1993
154,Lisbeth Lass,1940-09-20,,,female,,Member of the Constitutional Court of Austria,1994-03-07,2010-12-31,,National Council of Austria,Austria,1994
155,Gerhart Holzinger,1947-06-12,,,male,,Member of the Constitutional Court of Austria,1995-05-31,2017-12-31,,Q876059,Austria,1995
156,Gabriele Kucsko-Stadlmayer,1955-12-19,,,female,,Substitute Member of the Constitutional Court of Austria,1995-06-06,2015-01-01,,,Austria,1995
157,Eleonore Berchtold-Ostermann,1947-10-12,,,female,,Member of the Constitutional Court of Austria,1997-01-20,2017-12-31,,Federal Council of Austria,Austria,1997
158,Rudolf Müller,1947-04-11,,,male,,Member of the Constitutional Court of Austria,1998-02-05,2017-12-31,,,Austria,1998
159,Robert Schick,1959-04-07,,,male,,Substitute Member of the Constitutional Court of Austria,1998-12-17,,,National Council of Austria,Austria,1998
160,Hans Georg Ruppe,1942-06-16,,,male,,Member of the Constitutional Court of Austria,1998-12-17,2012-12-31,,,Austria,1998
161,Lilian Hofmeister,1950-10-16,,,female,,Substitute Member of the Constitutional Court of Austria,1998-12-17,2020-12-31,,,Austria,1998
162,Karl Korinek,1940-12-07,2017-03-09,,male,,Vice-president of the Constitutional Court,1999-01-01,2002-12-31,Austrian People's Party,Klima cabinet,Austria,1999
163,Claudia Kahr,1955-09-30,,,female,,Member of the Constitutional Court of Austria,1999-03-22,,,Klima cabinet,Austria,1999
164,Wolfgang Pesendorfer,1949-12-20,,,male,,Substitute Member of the Constitutional Court of Austria,1999-03-22,2007-09-24,,Klima cabinet,Austria,1999
165,Heinz Schäffer,1941-04-25,2008-12-01,,male,,Substitute Member of the Constitutional Court of Austria,1999-08-23,2008-12-01,,Klima cabinet,Austria,1999
166,Karl Korinek,1940-12-07,2017-03-09,,male,,President of the Constitutional Court,2003-01-01,2008-04-30,Austrian People's Party,First Schüssel cabinet,Austria,2003
167,Herbert Haller,1940-02-07,2021-07-31,,male,,Member of the Constitutional Court of Austria,2003-01-01,2010-12-31,,First Schüssel cabinet,Austria,2003
168,Brigitte Bierlein,1949-06-25,,,female,,Vice-president of the Constitutional Court,2003-01-01,2018-02-23,independent politician,First Schüssel cabinet,Austria,2003
169,Wolfgang Burtscher,1959-10-24,,,male,,Member of the Constitutional Court of Austria,2005-01-28,2005-04-30,,Second Schüssel cabinet,Austria,2005
170,Christoph Grabenwarter,1966-08-04,,,male,,Member of the Constitutional Court of Austria,2005-06-02,2018-02-23,,Second Schüssel cabinet,Austria,2005
171,Irmgard Griss,1946-10-13,,,female,,Substitute Member of the Constitutional Court of Austria,2008-01-10,2016-12-31,NEOS – The New Austria,Federal Council of Austria,Austria,2008
172,Johannes Hengstschläger,1940-01-01,,,male,,Substitute Member of the Constitutional Court of Austria,2008-01-28,2010-12-31,,Gusenbauer cabinet,Austria,2008
173,Gerhart Holzinger,1947-06-12,,,male,,President of the Constitutional Court,2008-05-01,2017-12-31,,Gusenbauer cabinet,Austria,2008
174,Helmut Hörtenhuber,1959-09-15,,,male,,Member of the Constitutional Court of Austria,2008-06-05,,,Gusenbauer cabinet,Austria,2008
175,Nikolaus Bachler,1967-09-20,,,male,,Substitute Member of the Constitutional Court of Austria,2009-02-04,,,Faymann cabinet,Austria,2009
176,Sieglinde Gahleitner,1965-05-10,,,female,,Member of the Constitutional Court of Austria,2010-01-01,,,Federal Council of Austria,Austria,2010
177,Johannes Schnizer,1959-09-14,,,male,,Member of the Constitutional Court of Austria,2010-01-01,,Social Democratic Party of Austria,Faymann cabinet,Austria,2010
178,Georg Lienbacher,1961-02-21,,,male,,Member of the Constitutional Court of Austria,2011-01-10,,,Faymann cabinet,Austria,2011
179,Barbara Leitl-Staudinger,1974-06-10,,,female,,Substitute Member of the Constitutional Court of Austria,2011-01-10,,,Faymann cabinet,Austria,2011
180,Michael Holoubek,1962-11-05,,,male,,Member of the Constitutional Court of Austria,2011-01-10,,,National Council of Austria,Austria,2011
181,Christoph Herbst,1960-06-08,,,male,,Member of the Constitutional Court of Austria,2011-07-07,,,Federal Council of Austria,Austria,2011
182,Ingrid Siess-Scherz,1965-11-11,,,female,,Member of the Constitutional Court of Austria,2012-06-20,,,Faymann cabinet,Austria,2012
183,Markus Achatz,1960-04-21,,,male,,Member of the Constitutional Court of Austria,2013-01-09,,,National Council of Austria,Austria,2013
184,Angela Julcher,1973-05-29,,,female,,Substitute Member of the Constitutional Court of Austria,2015-10-05,,,National Council of Austria,Austria,2015
185,Werner Suppan,1963-01-12,,,male,,Substitute Member of the Constitutional Court of Austria,2017-02-01,,Austrian People's Party,Federal Council of Austria,Austria,2017
186,Wolfgang Brandstetter,1957-10-07,,,male,,Member of the Constitutional Court of Austria,2017-02-27,2021-06-07,independent politician,First Kurz government,Austria,2017
187,Brigitte Bierlein,1949-06-25,,,female,,President of the Constitutional Court,2018-02-23,2019-06-02,independent politician,First Kurz government,Austria,2018
188,Christoph Grabenwarter,1966-08-04,,,male,,Vice-president of the Constitutional Court,2018-02-23,2020-02-18,,First Kurz government,Austria,2018
189,Andreas Hauer,1965-08-02,,,male,,Member of the Constitutional Court of Austria,2018-03-07,,,National Council of Austria,Austria,2018
190,Michael Rami,1968-02-02,,,male,,Member of the Constitutional Court of Austria,2018-04-11,,,Federal Council of Austria,Austria,2018
191,Christoph Grabenwarter,1966-08-04,,,male,,President of the Constitutional Court,2020-02-19,,,Second Kurz cabinet,Austria,2020
192,Verena Madner,1965-05-12,,,female,,Vice-president of the Constitutional Court,2020-04-24,,,Second Kurz cabinet,Austria,2020
193,Michael Mayrhofer,1975-07-18,,,male,,Substitute Member of the Constitutional Court of Austria,2021-05-11,2021-09-22,,Second Kurz cabinet,Austria,2021
194,Michael Mayrhofer,1975-07-18,,,male,,Member of the Constitutional Court of Austria,2021-09-22,,,Second Kurz cabinet,Austria,2021
195,Daniel Ennöckl,1973-01-13,,,male,,Substitute Member of the Constitutional Court of Austria,2022-01-20,,,Nehammer government,Austria,2022
196,Abu Sadat Mohammad Sayem,1916-01-01,1997-01-01,,male,,Chief Justice of Bangladesh,1972-12-16,1975-11-05,Bangladesh Awami League,,Bangladesh,1972
197,Abu Sadat Mohammad Sayem,1916-03-26,1997-01-01,,male,,Chief Justice of Bangladesh,1972-12-16,1975-11-05,Bangladesh Awami League,,Bangladesh,1972
198,Abu Sadat Mohammad Sayem,1916-03-29,1997-01-01,,male,,Chief Justice of Bangladesh,1972-12-16,1975-11-05,Bangladesh Awami League,,Bangladesh,1972
199,Abu Sadat Mohammad Sayem,1916-01-01,1997-07-08,,male,,Chief Justice of Bangladesh,1972-12-16,1975-11-05,Bangladesh Awami League,,Bangladesh,1972
200,Abu Sadat Mohammad Sayem,1916-03-26,1997-07-08,,male,,Chief Justice of Bangladesh,1972-12-16,1975-11-05,Bangladesh Awami League,,Bangladesh,1972
201,Abu Sadat Mohammad Sayem,1916-03-29,1997-07-08,,male,,Chief Justice of Bangladesh,1972-12-16,1975-11-05,Bangladesh Awami League,,Bangladesh,1972
202,Syed A. B. Mahmud Hossain,1916-01-01,1981-08-02,,male,,Chief Justice of Bangladesh,1975-11-18,1978-01-31,,,Bangladesh,1975
203,Kemaluddin Hossain,1923-01-01,2013-08-21,,male,,Chief Justice of Bangladesh,1978-02-01,1982-04-11,,,Bangladesh,1978
