,court,court_description,title,full_name,gender,court_abbreviation,religion,party,nominator,race,date_of_birth,date_of_death,term_start,term_end
22,Australia,High Court of Australia,Justice of the High Court of Australia,Gerard Brennan,male,AUS,Catholicism,,,,1928-05-22T00:00:00Z,,1981-02-12T00:00:00Z,1998-05-21T00:00:00Z
23,Australia,High Court of Australia,Chief Justice of Australia,Anthony Mason,male,AUS,,,,,1925-04-21T00:00:00Z,,1987-02-06T00:00:00Z,1995-04-20T00:00:00Z
24,Australia,High Court of Australia,Justice of the High Court of Australia,Mary Gaudron,female,AUS,,,,,1943-01-05T00:00:00Z,,1987-02-06T00:00:00Z,2003-01-31T00:00:00Z
25,Australia,High Court of Australia,Chief Justice of Australia,Gerard Brennan,male,AUS,Catholicism,,,,1928-05-22T00:00:00Z,,1995-04-21T00:00:00Z,1998-05-21T00:00:00Z
26,Australia,High Court of Australia,Justice of the High Court of Australia,Kenneth Hayne,male,AUS,,,,,1945-06-05T00:00:00Z,,1997-09-22T00:00:00Z,2015-06-04T00:00:00Z
27,Australia,High Court of Australia,Chief Justice of Australia,Murray Gleeson,male,AUS,Catholic Church,,,,1938-08-30T00:00:00Z,,1998-05-22T00:00:00Z,2008-08-29T00:00:00Z
28,Australia,High Court of Australia,Justice of the High Court of Australia,Dyson Heydon,male,AUS,,,,,1943-03-01T00:00:00Z,,2003-02-01T00:00:00Z,2013-02-28T00:00:00Z
29,Australia,High Court of Australia,Chief Justice of Australia,Robert French,male,AUS,,,,,1947-03-19T00:00:00Z,,2008-09-01T00:00:00Z,2017-01-29T00:00:00Z
30,Australia,High Court of Australia,Justice of the High Court of Australia,Virginia Bell,female,AUS,,,,,1951-03-07T00:00:00Z,,2009-02-03T00:00:00Z,2021-02-28T00:00:00Z
31,Australia,High Court of Australia,Justice of the High Court of Australia,Michelle Gordon,female,AUS,,,,,1964-11-19T00:00:00Z,,2015-06-09T00:00:00Z,
32,Australia,High Court of Australia,Chief Justice of Australia,Susan Kiefel,female,AUS,,,,,1954-01-17T00:00:00Z,,2017-01-30T00:00:00Z,
33,Australia,High Court of Australia,Justice of the High Court of Australia,Jacqueline Gleeson,female,AUS,,,,,1966-03-06T00:00:00Z,,2021-03-01T00:00:00Z,
34,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Franz Grüner,male,AUT,,Social Democratic Party of Austria,,,1879-11-24T00:00:00Z,1953-06-25T00:00:00Z,,
35,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Adolf Pilz,male,AUT,,Fatherland's Front,,,1877-07-10T00:00:00Z,1947-09-23T00:00:00Z,,
36,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Julius Ofner,male,AUT,,Deutsche Nationalpartei (Österreich),,,1845-08-20T00:00:00Z,1924-09-26T00:00:00Z,,
37,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Rudolf Ramek,male,AUT,Catholic Church,Christian Social Party,,,1881-04-12T00:00:00Z,1941-07-24T00:00:00Z,,
38,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Adolf Menzel,male,AUT,,,,,1857-07-09T00:00:00Z,1938-08-12T00:00:00Z,,
39,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Gustav Harpner,male,AUT,,,,,1864-03-25T00:00:00Z,1924-07-10T00:00:00Z,,
40,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Max Scheffenegger,male,AUT,,,,,1883-05-30T00:00:00Z,1963-03-24T00:00:00Z,,
41,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Arthur Lenhoff,male,AUT,,,,,1885-10-25T00:00:00Z,1965-06-20T00:00:00Z,,
42,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Karl Wolff,male,AUT,,,,,1890-02-11T00:00:00Z,1963-08-17T00:00:00Z,,
43,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Waldemar Unger,male,AUT,,,,,1881-09-12T00:00:00Z,1961-04-01T00:00:00Z,,
44,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Otto Lutz,male,AUT,,Greater German People's Party,,,1869-07-02T00:00:00Z,1947-10-10T00:00:00Z,,
45,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Rudolf Müller,male,AUT,,,,,1947-04-11T00:00:00Z,,,
46,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Max Scheffenegger,male,AUT,,,,,1883-05-30T00:00:00Z,1963-03-24T00:00:00Z,,
47,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Ignaz Tschurtschenthaler,male,AUT,,Austrian People's Party,,,1890-02-01T00:00:00Z,1954-12-16T00:00:00Z,,
48,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Ignaz Tschurtschenthaler,male,AUT,,Christian Social Party,,,1890-02-01T00:00:00Z,1954-12-16T00:00:00Z,,
49,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Ignaz Tschurtschenthaler,male,AUT,,Fatherland's Front,,,1890-02-01T00:00:00Z,1954-12-16T00:00:00Z,,
50,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Rolph Trummer,male,AUT,,Fatherland's Front,,,1890-04-19T00:00:00Z,1954-09-17T00:00:00Z,,
51,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Rudolf Machacek,male,AUT,,,,,1927-12-28T00:00:00Z,2014-10-06T00:00:00Z,,
52,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Hans Kelsen,male,AUT,,,,,1881-10-11T00:00:00Z,1973-04-19T00:00:00Z,,
53,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Erwin Felzmann,male,AUT,,,,,1937-04-10T00:00:00Z,,,
54,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Karl Pawelka,male,AUT,,National Socialist German Workers' Party (Nazi Party),,,1890-07-19T00:00:00Z,1948-10-02T00:00:00Z,,
55,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Karl Pawelka,male,AUT,,Sudeten German Party,,,1890-07-19T00:00:00Z,1948-10-02T00:00:00Z,,
56,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Viktor Fuchs,male,AUT,,Christian Social Party,,,1840-10-25T00:00:00Z,1921-09-29T00:00:00Z,,
57,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Peter Oberndorfer,male,AUT,,,,,1942-09-02T00:00:00Z,,,
58,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Theo Öhlinger,male,AUT,,,,,1939-06-22T00:00:00Z,,,
59,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Theo Öhlinger,male,AUT,,,,,1939-06-22T00:00:00Z,,,
60,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Peter Fessler,male,AUT,,,,,1928-09-22T00:00:00Z,,,
61,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Viktor Kienböck,male,AUT,,Christian Social Party,,,1873-01-18T00:00:00Z,1956-11-23T00:00:00Z,,
62,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Viktor Kienböck,male,AUT,,Fatherland's Front,,,1873-01-18T00:00:00Z,1956-11-23T00:00:00Z,,
63,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Viktor Kienböck,male,AUT,,Christian Social Party,,,1873-01-18T00:00:00Z,1956-11-23T00:00:00Z,,
64,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Viktor Kienböck,male,AUT,,Fatherland's Front,,,1873-01-18T00:00:00Z,1956-11-23T00:00:00Z,,
65,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Willibald Liehr,male,AUT,,,,,1941-12-07T00:00:00Z,2011-05-31T00:00:00Z,,
66,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Anton Mahnig,male,AUT,,,,,1899-06-17T00:00:00Z,1988-04-14T00:00:00Z,,
67,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Julius Sylvester,male,AUT,,Deutsche Nationalpartei (Österreich),,,1854-06-30T00:00:00Z,1944-07-13T00:00:00Z,,
68,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Julius Sylvester,male,AUT,,Deutscher Nationalverband,,,1854-06-30T00:00:00Z,1944-07-13T00:00:00Z,,
69,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Hans Georg Ruppe,male,AUT,,,,,1942-06-16T00:00:00Z,,,
70,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Edmund Bernatzik,male,AUT,,,,,1854-09-28T00:00:00Z,1919-03-30T00:00:00Z,,
71,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Michael Mayr,male,AUT,Catholic Church,Christian Social Party,,,1864-04-10T00:00:00Z,1922-05-21T00:00:00Z,,
72,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Robert Hecht,male,AUT,,,,,1881-03-09T00:00:00Z,1938-01-01T00:00:00Z,,
73,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Karl Spielbüchler,male,AUT,,,,,1939-09-27T00:00:00Z,2012-01-09T00:00:00Z,,
74,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Friedrich Austerlitz,male,AUT,,Social Democratic Party of Austria,,,1862-04-25T00:00:00Z,1931-07-05T00:00:00Z,,
75,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Friedrich Austerlitz,male,AUT,,Social Democratic Party of Austria,,,1862-04-25T00:00:00Z,1931-10-23T00:00:00Z,,
76,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Friedrich Austerlitz,male,AUT,,Social Democratic Party of Austria,,,1862-04-25T00:00:00Z,1931-07-05T00:00:00Z,,
77,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Friedrich Austerlitz,male,AUT,,Social Democratic Party of Austria,,,1862-04-25T00:00:00Z,1931-10-23T00:00:00Z,,
78,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Heinrich Klang,male,AUT,,,,,1875-04-15T00:00:00Z,1954-01-22T00:00:00Z,,
79,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Stephan Falser,male,AUT,,Christian Social Party,,,1855-08-30T00:00:00Z,1944-03-19T00:00:00Z,,
80,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Stephan Falser,male,AUT,,Christian Social Party,,,1855-08-30T00:00:00Z,1944-03-19T00:00:00Z,,
81,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Georg Froehlich,male,AUT,,,,,1872-07-17T00:00:00Z,1939-09-21T00:00:00Z,,
82,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Kurt Gottlich,male,AUT,,,,,1932-12-04T00:00:00Z,2013-10-14T00:00:00Z,,
83,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Friedrich von Engel,male,AUT,,,,,1867-08-19T00:00:00Z,1941-12-20T00:00:00Z,,
84,Austria,Constitutional Court,Vice-president of the Constitutional Court,Adolf Menzel,male,AUT,,,,,1857-07-09T00:00:00Z,1938-08-12T00:00:00Z,,
85,Austria,Constitutional Court,Vice-president of the Constitutional Court,Gustav Zigeuner,male,AUT,,Fatherland's Front,,,1886-01-28T00:00:00Z,1979-11-29T00:00:00Z,,
86,Austria,Constitutional Court,Vice-president of the Constitutional Court,Karl Wolff,male,AUT,,,,,1890-02-11T00:00:00Z,1963-08-17T00:00:00Z,,
87,Austria,Constitutional Court,Vice-president of the Constitutional Court,Anton Mahnig,male,AUT,,,,,1899-06-17T00:00:00Z,1988-04-14T00:00:00Z,,
88,Austria,Constitutional Court,Vice-president of the Constitutional Court,Walter Antoniolli,male,AUT,,,,,1907-12-30T00:00:00Z,2006-05-23T00:00:00Z,,
89,Austria,Constitutional Court,Vice-president of the Constitutional Court,Georg Froehlich,male,AUT,,,,,1872-07-17T00:00:00Z,1939-09-21T00:00:00Z,,
90,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Norbert Wimmer,male,AUT,,Social Democratic Party of Austria,,,1942-07-05T00:00:00Z,,,
91,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Robert Neumann-Ettenreich,male,AUT,,,Austrian Federal Government,,1857-01-08T00:00:00Z,1926-03-26T00:00:00Z,1919-02-14T00:00:00Z,1926-03-26T00:00:00Z
92,Austria,Constitutional Court,President of the Constitutional Court,Paul Vittorelli,male,AUT,,,,,1851-03-09T00:00:00Z,1932-04-20T00:00:00Z,1919-02-14T00:00:00Z,1930-02-15T00:00:00Z
93,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Paul Vittorelli,male,AUT,,,,,1851-03-09T00:00:00Z,1932-04-20T00:00:00Z,1919-02-14T00:00:00Z,1930-02-15T00:00:00Z
94,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Eduard Erler,male,AUT,,Deutsche Nationalpartei (Österreich),,,1861-09-25T00:00:00Z,1949-01-01T00:00:00Z,1919-05-03T00:00:00Z,1920-03-17T00:00:00Z
95,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Eduard Erler,male,AUT,,Deutscher Nationalverband,,,1861-09-25T00:00:00Z,1949-01-01T00:00:00Z,1919-05-03T00:00:00Z,1920-03-17T00:00:00Z
96,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Arnold Eisler,male,AUT,,Social Democratic Party of Austria,,,1879-04-06T00:00:00Z,1947-01-28T00:00:00Z,1919-05-03T00:00:00Z,1924-12-05T00:00:00Z
97,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Karl Heinrich Hugelmann,male,AUT,,,,,1844-10-06T00:00:00Z,1930-05-25T00:00:00Z,1919-05-03T00:00:00Z,1926-11-15T00:00:00Z
98,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Max Layer,male,AUT,,,National Council of Austria,,1866-09-17T00:00:00Z,1941-01-24T00:00:00Z,1924-12-03T00:00:00Z,1930-02-15T00:00:00Z
99,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Arnold Eisler,male,AUT,,Social Democratic Party of Austria,,,1879-04-06T00:00:00Z,1947-01-28T00:00:00Z,1924-12-05T00:00:00Z,1930-02-15T00:00:00Z
100,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Max Adler,male,AUT,,Social Democratic Party of Austria,,,1873-01-15T00:00:00Z,1937-06-28T00:00:00Z,1924-12-30T00:00:00Z,1930-02-15T00:00:00Z
101,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Alfred Verdross,male,AUT,,,,,1890-02-22T00:00:00Z,1980-03-27T00:00:00Z,1926-12-10T00:00:00Z,1930-02-15T00:00:00Z
102,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Alfred Verdross,male,AUT,,,,,1890-02-22T00:00:00Z,1980-04-27T00:00:00Z,1926-12-10T00:00:00Z,1930-02-15T00:00:00Z
103,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Gustav Walker,male,AUT,,Fatherland's Front,,,1868-04-21T00:00:00Z,1944-01-01T00:00:00Z,1930-01-01T00:00:00Z,1934-01-01T00:00:00Z
104,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Max Kulisch,male,AUT,,,Austrian Federal Government,,1870-05-13T00:00:00Z,1946-11-15T00:00:00Z,1930-02-16T00:00:00Z,1934-07-14T00:00:00Z
105,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Ludwig Adamovich,male,AUT,,Fatherland's Front,,,1890-09-23T00:00:00Z,1955-04-30T00:00:00Z,1930-02-16T00:00:00Z,1934-07-14T00:00:00Z
106,Austria,Constitutional Court,President of the Constitutional Court,Ernst Durig,male,AUT,,,,,1870-06-29T00:00:00Z,1965-03-04T00:00:00Z,1930-02-16T00:00:00Z,1934-07-14T00:00:00Z
107,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Ernst Durig,male,AUT,,,,,1870-06-29T00:00:00Z,1965-03-04T00:00:00Z,1930-02-16T00:00:00Z,1934-07-14T00:00:00Z
108,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Ludwig Adamovich,male,AUT,,Fatherland's Front,,,1890-09-23T00:00:00Z,1955-04-30T00:00:00Z,1930-02-16T00:00:00Z,1955-09-23T00:00:00Z
109,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Ludwig Adamovich,male,AUT,,Fatherland's Front,,,1890-09-23T00:00:00Z,1955-04-30T00:00:00Z,1945-12-14T00:00:00Z,1934-07-14T00:00:00Z
110,Austria,Constitutional Court,President of the Constitutional Court,Ernst Durig,male,AUT,,,,,1870-06-29T00:00:00Z,1965-03-04T00:00:00Z,1945-12-14T00:00:00Z,1946-06-17T00:00:00Z
111,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Ernst Durig,male,AUT,,,,,1870-06-29T00:00:00Z,1965-03-04T00:00:00Z,1945-12-14T00:00:00Z,1946-06-17T00:00:00Z
112,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Ludwig Adamovich,male,AUT,,Fatherland's Front,,,1890-09-23T00:00:00Z,1955-04-30T00:00:00Z,1945-12-14T00:00:00Z,1955-09-23T00:00:00Z
113,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Godehard Josef Ebers,male,AUT,,Centre Party,Austrian Federal Government,,1880-09-22T00:00:00Z,1958-05-18T00:00:00Z,1946-06-01T00:00:00Z,1950-12-31T00:00:00Z
114,Austria,Constitutional Court,President of the Constitutional Court,Ludwig Adamovich,male,AUT,,Fatherland's Front,,,1890-09-23T00:00:00Z,1955-04-30T00:00:00Z,1946-06-01T00:00:00Z,1955-09-23T00:00:00Z
115,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Gustav Zigeuner,male,AUT,,Fatherland's Front,,,1886-01-28T00:00:00Z,1979-11-29T00:00:00Z,1946-06-01T00:00:00Z,1957-12-31T00:00:00Z
116,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Wilhelm Lahnsteiner,male,AUT,,,Q629145,,1890-12-04T00:00:00Z,1962-01-01T00:00:00Z,1946-06-18T00:00:00Z,1954-03-24T00:00:00Z
117,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Walter Antoniolli,male,AUT,,,,,1907-12-30T00:00:00Z,2006-05-23T00:00:00Z,1951-01-01T00:00:00Z,1977-10-03T00:00:00Z
118,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Wilhelm Rosenzweig,male,AUT,,,Federal Council of Austria,,1908-11-27T00:00:00Z,1992-05-04T00:00:00Z,1954-02-19T00:00:00Z,1958-02-12T00:00:00Z
119,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Leopold Werner,male,AUT,,,,,1905-09-26T00:00:00Z,1977-01-13T00:00:00Z,1954-04-14T00:00:00Z,1954-12-31T00:00:00Z
120,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Leopold Werner,male,AUT,,,First Raab government,,1905-09-26T00:00:00Z,1977-01-13T00:00:00Z,1955-01-01T00:00:00Z,1975-12-31T00:00:00Z
121,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Gustav Kaniak,male,AUT,,,First Raab government,,1907-07-30T00:00:00Z,1993-07-03T00:00:00Z,1955-01-15T00:00:00Z,1957-06-30T00:00:00Z
122,Austria,Constitutional Court,President of the Constitutional Court,Gustav Zigeuner,male,AUT,,Fatherland's Front,,,1886-01-28T00:00:00Z,1979-11-29T00:00:00Z,1956-02-01T00:00:00Z,1957-12-31T00:00:00Z
123,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Gustav Kaniak,male,AUT,,,Q1006646,,1907-07-30T00:00:00Z,1993-07-03T00:00:00Z,1957-07-01T00:00:00Z,1977-12-31T00:00:00Z
124,Austria,Constitutional Court,President of the Constitutional Court,Walter Antoniolli,male,AUT,,,,,1907-12-30T00:00:00Z,2006-05-23T00:00:00Z,1958-02-12T00:00:00Z,1977-10-03T00:00:00Z
125,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Wilhelm Rosenzweig,male,AUT,,,Federal Council of Austria,,1908-11-27T00:00:00Z,1992-05-04T00:00:00Z,1958-02-12T00:00:00Z,1978-12-31T00:00:00Z
126,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Erwin Melichar,male,AUT,,,Q1006646,,1913-09-26T00:00:00Z,2000-02-16T00:00:00Z,1958-02-22T00:00:00Z,1977-10-10T00:00:00Z
127,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Wilhelm Malaniuk,male,AUT,,,Q1006646,,1906-06-26T00:00:00Z,1965-12-20T00:00:00Z,1959-04-17T00:00:00Z,1965-12-20T00:00:00Z
128,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Anton Mahnig,male,AUT,,,,,1899-06-17T00:00:00Z,1988-04-14T00:00:00Z,1961-07-11T00:00:00Z,1969-09-30T00:00:00Z
129,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Friedrich Nowakowski,male,AUT,,National Socialist German Workers' Party (Nazi Party),,,1914-10-15T00:00:00Z,1987-06-21T00:00:00Z,1961-12-11T00:00:00Z,1984-12-31T00:00:00Z
130,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Hans Klecatsky,male,AUT,,,,,1920-11-06T00:00:00Z,2015-04-23T00:00:00Z,1965-01-01T00:00:00Z,1966-01-01T00:00:00Z
131,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Friedrich Lehne,male,AUT,,,,,1913-06-30T00:00:00Z,2006-12-16T00:00:00Z,1966-09-02T00:00:00Z,1983-12-31T00:00:00Z
132,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Dietrich Roessler,male,AUT,,,,,1926-02-10T00:00:00Z,2001-08-20T00:00:00Z,1967-07-13T00:00:00Z,1967-12-31T00:00:00Z
133,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Armin Wechner,male,AUT,,,Q876869,,1910-01-26T00:00:00Z,1992-09-09T00:00:00Z,1967-08-17T00:00:00Z,1979-08-31T00:00:00Z
134,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Dietrich Roessler,male,AUT,,,Federal Council of Austria,,1926-02-10T00:00:00Z,2001-08-20T00:00:00Z,1968-01-01T00:00:00Z,1996-12-31T00:00:00Z
135,Austria,Constitutional Court,Vice-president of the Constitutional Court,Leopold Werner,male,AUT,,,Q876869,,1905-09-26T00:00:00Z,1977-01-13T00:00:00Z,1969-01-01T00:00:00Z,1975-12-31T00:00:00Z
136,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Kurt Ringhofer,male,AUT,,,,,1926-08-02T00:00:00Z,1993-08-14T00:00:00Z,1969-02-11T00:00:00Z,1969-12-31T00:00:00Z
137,Austria,Constitutional Court,Substitute Member of the Constitutional Court of Austria,Werner Hinterauer,male,AUT,,,,,1917-12-08T00:00:00Z,2013-12-11T00:00:00Z,1969-02-11T00:00:00Z,1979-12-31T00:00:00Z
138,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Kurt Ringhofer,male,AUT,,,Q876869,,1926-08-02T00:00:00Z,1993-08-14T00:00:00Z,1970-01-01T00:00:00Z,1993-08-14T00:00:00Z
139,Austria,Constitutional Court,Member of the Constitutional Court of Austria,Karl Piska,male,AUT,,,National Council of Austria,,1928-05-18T00:00:00Z,2008-12-18T00:00:00Z,1973-03-14T00:00:00Z,1998-12-31T00:00:00Z
